sentiment,text,user
neutral,"RT @steal61: Mick Wallace (@wallacemick)  , deputato al Parlamento irlandese europeo\nMonumentale intervento sulla #NATO, quel sanguinario m…",LauraGi63815697
negative,RT @Lloyd_cymru: Cynically written columns can't help us to expound on the events deeply affecting the nations.Also  hideously seeded orien…,tkenmez_kalem
positive,Traurige Realität... \nDieser Comic ist über 80 Jahre alt und hat an Gültigkeit nichts eingebüßt \nEs ist heute genau… https://t.co/RILWhX3Bgx,PeterSchwarz11
neutral,"RT @Ataturkcu_Ruh: ✓✓\n..#GeceyeNotum\n#NATO\nDünyanın her\n\TÜRK'ü\nATATÜRK ORDUSU\""\nHer koşulda\nVatan için\nMuhabere'ye hazırız!.\n\n#KemalizmTürk…""",PalaBiyikRak
neutral,RT @FrForcesEstonia: The 🇫🇷 Air Force is deployed in #Estonia to strengthen @NATO air policing mission &amp; protect the integrity of #Baltic a…,kisleany
neutral,"Näin #Venäjä n pääuutiskanavalla illalla: \Erikoisoperaatio Ukrainassa ohi. Tarkoitus on nyt demilitarisoida koko… https://t.co/IBQn7ZYzmy""",TemppuTerava
neutral,Vad tror ni kommer Sveriges riksdagsledamöter schabbla bort möjligheten att snabbt kunna följa med Finland in i… https://t.co/iu5EqcXkHR,smixak
positive,RT @mastibara: #UkraineInvasion West standing by in #NATO border and imposing #sanctions that will not affect them. Is this really helping…,gene_yeates
neutral,"By considering attendance to #NATO's summit, is the collective-West, through #Japan, risking a second Ukraine-like… https://t.co/avBuXSqGJG",MayadeenEnglish
neutral,#NATO @turkey https://t.co/7MR6NlBGdY,Whit_Sav
neutral,"Finnish, Swedish NATO bids depend on response to Turkey: Kalin @ikalin1  @TurkDelNATO @NATO \n\n#Sweden #Finland… https://t.co/AO4xtjWLOP",APA_English
neutral,"RT @NATO_AIRCOM: The Commanders of the 🇫🇮 &amp; 🇸🇪 Air Forces, visited #NATO’s Air Command.\n\nThe Generals discussed Finland and Sweden's NATO a…",FridaBrownDR
neutral,RT @ramazancan0071: Hiç kimse Türkiye ile dans etmeye kalkmasın…\n@RTErdogan \n#TBMM #Yunanistan #NATO https://t.co/XQCXRUT0z9,Hakanmetu711
positive,"RT @NATO: Secretary General @jensstoltenberg and @POTUS discussed the united response to Russia’s war against #Ukraine, further strengtheni…",dcconsulting4
positive,RT @jensstoltenberg: Great meeting with @POTUS to prepare for our #NATOSummit later this month. I thanked him for the #US leadership in #NA…,mariwarnesmith
neutral,RT @jensstoltenberg: Constructive phone call with President @RTErdogan. #Türkiye is a valued Ally &amp; we commend their efforts to broker a de…,mariwarnesmith
positive,US Receives NATO Secretary-General\nhttps://t.co/jL1QzTXc2D via @DiplomaticIns\n\n#USA #NATO #WeAreNATO #NATOSummit… https://t.co/Id9f3DK9nj,DiplomaticIns
neutral,Kovaa 🇫🇮 poliittista historiaa #KGB-tutkija Alpo Rusi https://t.co/OdzSVYDPPi #suomettuminen #NATO #supo #Rozenholz… https://t.co/4ntii92klP,PyykonenPetteri
neutral,"RT @ramazancan0071: Biz teröre destek veren ülkeleri #Nato ittifakımıza almıyoruz. \nPeki Siz,\nteröre destek veren partiyi ittifakınıza niye…",Hakanmetu711
positive,RT @medyanews_: ❸ 'Turkey fights using primarily #NATO weapons... attacks on Iraqi #Kurdistan and northern Syria come from drones purchased…,SyrianWar1936
neutral,RT @JadedOrganizer: We're also expanding #NATO in order remain the largest Empire in the world and Sanction any country that doesn't confor…,HakanCavus75
neutral,#elites #rulingelites #Bilderberg #Mainstreammedia #ZeroTransparency #kissinger #Pfizer #CIA #NATO #ericschmidt… https://t.co/nxck9Sbokh,DejaView
positive,RT @medyanews_: ❸ 'Turkey fights using primarily #NATO weapons... attacks on Iraqi #Kurdistan and northern Syria come from drones purchased…,Rebar80
neutral,"RT @JoeDoge6: 🇺🇦🇷🇺BÜRGERMEISTER VON KUPJANSK: \RUSSISCHE SOLDATEN GEWINNEN UNSERE HERZEN\""\n#Ukraine #UkraineRussianWar #UkraineWar #Russia #…""",NeumannRoland2
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,mariwarnesmith
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,elizabe40241520
neutral,@RadunRadun Ko to kaže da Rusi nemaju ništa protiv Draškovića!?\n\nZa Rusiju je Drašković bitan koliko i Baba Milka s… https://t.co/1oxYHBKHby,NovinarZaDzuke
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,PronMalinen
positive,"RT @JFCNorfolk: On 2 June, 22, #NATO conducted a large scale air exercise off the west coast of Norway with participation by 🇫🇷🇩🇪🇳🇴🇬🇧 and P…",ninotelia1
neutral,"RT @ramazancan0071: Biz teröre destek veren ülkeleri #Nato ittifakımıza almıyoruz. \nPeki Siz,\nteröre destek veren partiyi ittifakınıza niye…",ali_can014402
neutral,RT @JadedOrganizer: We're also expanding #NATO in order remain the largest Empire in the world and Sanction any country that doesn't confor…,deaf258
positive,RT @AfricaTembelea: Top US General Mark Milley met Finnish President Sauli Niinisto and pledged US support for Finland's and Sweden's NATO…,levis_wexsir
neutral,"RT @NATO_AIRCOM: The Commanders of the 🇫🇮 &amp; 🇸🇪 Air Forces, visited #NATO’s Air Command.\n\nThe Generals discussed Finland and Sweden's NATO a…",Leinelan_Kerppi
neutral,#人工衛星 #IoT #AI #量子コンピュータ #電磁波攻撃 #サイバー攻撃 #健康被害 #社会保険審査会 #SCAPIN #５大国一致の原則 #特命全権大使 #決議事項 #新CSS #新ISS #地球降下作戦開始 #宇宙総会… https://t.co/cuel0k2Y0R,Hiaka3
neutral,RT @Ukraine66251776: #BREAKING\nMariupol Tribunal. All Ukrainian Azov war criminals captured in Mariupol and Azovstal will be tried in Mariu…,onicha_benjami
negative,"@NinaByzantina #Russia must declare the dissolution of USSR illegal, raise the Soviet flag on Kremlin and give… https://t.co/fGvnnGHXD0",walijon
neutral,RT @derfreitag: Amineh #Kakabaveh ist als #Abgeordnete in #Schweden die Liebslingsfeindin von #Erdoğan. Die kurdischen Interessen will sie…,HelbigJoachim
neutral,Eerst #bigpharma nu de oorlogsmachinerie. Ze blijven maar geld uit de zakken van onze regeringen kloppen die wedero… https://t.co/EQOnazeLyV,Jack650335781
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,BornerJere
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,Randomly1Quotes
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,kawazoetomoyuk
neutral,"RT @JoeDoge6: 🇺🇦🇷🇺BÜRGERMEISTER VON KUPJANSK: \RUSSISCHE SOLDATEN GEWINNEN UNSERE HERZEN\""\n#Ukraine #UkraineRussianWar #UkraineWar #Russia #…""",Weinman98105045
neutral,RT @JonasKupper: 43/ This is Part 4 of a series of threads.\n\nPart 1: https://t.co/JePPwiJpef\n\nPart 2: https://t.co/sEFfTfqqma\n\nPart 3: http…,BendlerBlogger
positive,RT @JonasKupper: 19th CENTURY EUROCENTRISM SHAPES TODAY’S PUTIN APPEASEMENT \n\nThread - Part IV – “How the Krauts quickly recycled another ‘…,BendlerBlogger
positive,RT @LeonHartwell: .@LaurenSperanza (@cepa) on #NATO's upcoming #StrategicConcept. \n\nView full @lseideas #Russia-#Ukraine Dialogue on YouTub…,LeonHartwell
neutral,RT @JoeDoge6: 🇺🇦🇷🇺Ukraine beschießt Schulen und tötet Kinder in Donezk – der Westen feiert Selenskij\nAm Montag haben ukrainische Streitkräf…,anettjohanna
neutral,"RT @NATO_AIRCOM: The Commanders of the 🇫🇮 &amp; 🇸🇪 Air Forces, visited #NATO’s Air Command.\n\nThe Generals discussed Finland and Sweden's NATO a…",scotcregan
neutral,#認知戦 #CognitiveWarfare\n#苫米地英人\n0502\n#バラいろダンディ\n\n#日本 #核戦争 に巻き込まれるリスクを助長する #フェイクニュース が拡散されている\n\n#ブリンケン 国務長官 #NATO首脳会議 出席… https://t.co/5y62XFTpEA,hyoutau
neutral,RT @JonasKupper: 19th CENTURY EUROCENTRISM SHAPES TODAY’S PUTIN APPEASEMEMT \n\nThread - Part 3 – “How Ukraine provoked the war”\n\n#Russia #NA…,BendlerBlogger
neutral,"RT @frido1962: Roma. Via Tuscolana adesso. Manifestazione con 50 partecipanti che strillano \ fuori la #Nato dalla nostra terra\"". Ma non sa…""",Giuliorm1
neutral,"RT @Wikileaks_Ita: #Bilderberg2022 L'Ad #Pfizer Bourla, il capo #CIA Burns , il dir NSC Sullivan , VicePres #Facebook LeCun, Re d'Olanda, S…",concetta1915
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,Alexblx
negative,RT @JonasKupper: HOW 19th CENTURY EUROCENTRISM SHAPES TODAY’S PUTIN APPEASEMENT \n\nA long thread – part II. #ArmUkraineNow #Russia #NATO #Az…,BendlerBlogger
positive,The spectre of nuclear proliferation looms large again. How #NATO handles #Russia will impact nuclear #security sig… https://t.co/lkR6XpKz5F,a_m_wegner
neutral,"In fact, in the conditions of continuous war,the Armed Forces of #Ukraine 🇺🇦 is rearming and switching to #NATO arm… https://t.co/yLn3uCUTYI",galbrait_art
negative,@JosepBorrellF This war wold be over by now if you wouldn‘t feed false hopes with giving your weapons industry a on… https://t.co/gDbiWjECVX,nojetlag
positive,"@szonov https://t.co/Mxw69a7YWX #Ukraine, it's getting more and more clear what a mess #NATO lets itself drag into.",carpaciao
positive,RT @jensstoltenberg: Great to meet with Prime Minister @MarinSanna of our close partner #Finland in Washington. We discussed the need to ad…,karlankeborg
neutral,Amineh #Kakabaveh ist als #Abgeordnete in #Schweden die Liebslingsfeindin von #Erdoğan. Die kurdischen Interessen w… https://t.co/8fvy7dD3Kk,derfreitag
neutral,"Ist euch eigentlich klar, dass dieses so harmlos klingende 2 %-Ziel der #NATO mehr als 20 % des Bundeshaushaltes si… https://t.co/mtLauSdIlQ",Blixah
neutral,"RT @BlackZorro07: Was scrolling through twitter, and came across a sketch that made me reflect on this #ukraine #russia crisis! There’s no…",AgrawalParvi
negative,RT @peterpobjecky: Today - 30 April 1945 - #Soviet flag raised over #Reichstag \nYet #Moscow was forced once again to fight against rising #…,AgrawalParvi
neutral,"No end to Ukraine war in sight, hunger crisis looms - UN\n @sightmagazine  #Ukraineconflict #foodsecurity #hunger #UN\nhttps://t.co/lNr8igeHD9",sightmagazine
negative,"I think I’m gonna be sick … 🤪😶\n\n(And I better don’t comment those statements from @JoeBiden, along with everything… https://t.co/Xj49L8Zvet",alpha7B5
neutral,❗️❗️❗️\n\n#UkraineConflict #TheWest https://t.co/wfqacZRcqL,alpha7B5
neutral,The day of the war at a glance: Scholz leaves Kyiv visit open - Bundestag approves 100 billion for the Bundeswehr… https://t.co/t62tDYikbI,JuicyReviewz7
neutral,"In the suburbs of Severodonetsk in eastern Ukraine, two Reuters reporters were reportedly injured in a shooting whi… https://t.co/kDicqBcHyI",fns124
positive,"RT @JuicyReviewz7: Putin's supposed \best\"" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict \n#News…""",TeunissenHerman
positive,"RT @JuicyReviewz7: Putin's supposed \best\"" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict \n#News…""",TurnAmericaBlu_
positive,"Putin's supposed \best\"" sniper Alexander Kislinsky fallen\n #AlexanderKislinsky #sniper #Ukraine #Ukraineconflict… https://t.co/UZuX63qXEI""",JuicyReviewz7
neutral,Ukrainians hold out as Russia storms eastern city on war's 100th day @sightmagazine  #Ukraineconflict… https://t.co/KzBKYKcOmY,sightmagazine
positive,7 million refugees have fled Ukraine in the first 100 days of fighting. @ZelenskyyUa claims Russia occupies 20% of… https://t.co/BP4NysA6ui,1hikid
negative,"RT @MarKittyKat: Russians don’t capture cities they destroy them.  This video shows Sievierodontesk, which is now facing the same fate as M…",longterm_invest
neutral,#UkraineWar #ukrainewarreport #UkraineInvasion #UkraineConflict #UkraineCrisis #Ukraine #Russia #Belarus #Putin… https://t.co/il5sPH7aVK,caffeinsomniac
neutral,"RT @Brew4Ukraine: Today @brew4ukraine sent $1752 to @unicef, this donation was made by @WestkeyLtd that donated 8000 #PutinHuylo labels.  U…",WoodysWorldTV
neutral,"Today @brew4ukraine sent $1752 to @unicef, this donation was made by @WestkeyLtd that donated 8000 #PutinHuylo labe… https://t.co/TtLRxg0tvb",Brew4Ukraine
neutral,https://t.co/iNvAgnUlpi\n#ukraineconflict #nft #nftart #nftartist #nfts #nftcollector #nftcommunity #cryptoart… https://t.co/vTS90Yxdf8,LouisPascalRon
positive,"Russia in a helping role: According to the African Union, Putin is ready to export grain\n #AfricanUnion… https://t.co/9mNAgikpkZ",JuicyReviewz7
neutral,#UkraineWar #ukrainewarreport #UkraineInvasion #UkraineConflict #UkraineCrisis #Ukraine #Russia #Belarus #Putin… https://t.co/W5uhNkug0e,caffeinsomniac
neutral,#UkraineWar #ukrainewarreport #UkraineInvasion #UkraineConflict #UkraineCrisis #Ukraine #Russia #Belarus #Putin… https://t.co/vTc55Yp6jn,caffeinsomniac
positive,"RT @audiocustoms82: Call signs, from left to right:\nBig Blue, Old School, Kiwi, Thatcher\nWe really need donations to keep our mission runni…",ConnieLutz9
negative,"RT @MarKittyKat: Russians don’t capture cities they destroy them.  This video shows Sievierodontesk, which is now facing the same fate as M…",istamblue
negative,"RT @MarKittyKat: Russians don’t capture cities they destroy them.  This video shows Sievierodontesk, which is now facing the same fate as M…",StvnsFrnk
negative,"Russians don’t capture cities they destroy them.  This video shows Sievierodontesk, which is now facing the same fa… https://t.co/Wf3S0m2zl1",MarKittyKat
neutral,The Swiss arms industry is losing all its customers: What's the point of buying merchandise that you don't fully ow… https://t.co/zrUTHq6jDy,HAL96661
neutral,#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie #UkraineConflict… https://t.co/lzd88PXDDX,HAL96661
positive,"\Russian attempts to limit the use of VPNs and Tor\"" I already read that more than a year ago ...🤭… https://t.co/LReqMeKgke""",HAL96661
positive,"The Russian position is however very clear, they will allow and help all exports of their agricultural products. Es… https://t.co/lu5JCSiTPL",HAL96661
positive,RT @ARehman_Blog: So really? Why world was silent when this was going on? Lol!\n\n#Ukraine #UkraineRussiaConflict #UkraineRussie #UkraineConf…,NezoNezuko
neutral,"🟠🇺🇦🇲🇫 Zelensky n'autorise pas l'envoi de produits de première nécessité par colis\n\n''Incroyable, ma femme a de la f… https://t.co/DQSJL0MYmK",AlexQ51430
negative,R.I.P \nI have no doubt that many others will inflict terrible damage!\n#StandWithUkraine #Ukraine #Poutine… https://t.co/KUoub1Zi5t,HAL96661
neutral,@JulianRoepcke @BILD @ciudadfutura 〝Evacuees from #Kherson’ve been stranded by 🇺🇦Nationalists〟\n〝Homecoming is Thwar… https://t.co/pZGYDsw7nC,sigure_ousaka
negative,"If anyone believes in it, he is a level ∞ moron\n\n#Ukraine #Russia #RussiaInvadedUkraine #UkraineConflict… https://t.co/zzsQ7yyWyj",cryptollokoo
neutral,"@TheStudyofWar @WSJ One day they will have to cross it, in their plans ... 🤭\n#StandWithUkraine #Ukraine #Poutine… https://t.co/1vLTO7hAaB",HAL96661
positive,"This kind of statistics is perfectly in line with the daily data of the Ukrainian forces. Once again, nothing will… https://t.co/JcuLY6Ulcy",HAL96661
negative,The problem with the Russian armed forces is that they are not well armed and forced to give their all...😡🤬bastard… https://t.co/fJQkVaDfJw,HAL96661
negative,"RT @HAL96661: @Macky_Sall Do you mean products stolen from the Ukrainian people? I think Zelenskiy, 🇺🇦🇪🇺🇺🇸🇬🇧and much of the world's leaders…",Yes2winC
negative,"@Macky_Sall Do you mean products stolen from the Ukrainian people? I think Zelenskiy, 🇺🇦🇪🇺🇺🇸🇬🇧and much of the world… https://t.co/r7f9pUVLjO",HAL96661
negative,RT @RusskieUkraine: #Ukrainian forces take turns firing rockets at Russian military vehicles.\n\n#Ukraine #FuckPutin #UkraineRussiaWar #Ukrai…,islandchild89
positive,"RT @SukursalRock: Four months ago their lives were normal, just like yours and ours. And now... STOP THE WAR NOW! ☮️🕊️ #PrayForUkraine #Sto…",SukursalRock
positive,మా పరిస్థితిని అర్థం చేసుకోండి https://t.co/s2f9l4DTgK via @Telangana తాజా వార్తలు  | Latest Telugu Breaking News… https://t.co/xCrCBsGyMu,ManaTelanganaIN
neutral,RT @ArisMessinis: In eastern #Ukraine at a front. \n#UkraineConflict https://t.co/4u0YALgJUO,GPerdikaris
positive,RT @ArisMessinis: In the town of Schastia in eastern #Ukraine near #Lugansk. \n#UkraineRussiaCrisis \n#UkraineConflict https://t.co/UmVibicWwA,GPerdikaris
positive,RT @ArisMessinis: In the town of Schastia on 22/2/22 in eastern #Ukraine near #Lugansk. \n#UkraineRussiaCrisis \n#UkraineConflict https://t.c…,GPerdikaris
positive,RT @MatasMaldeikis: Let's remember that Putin became President after bombing residential blocks full of his own citizens. When it comes to…,aslm510
neutral,#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie #UkraineConflict… https://t.co/ERByxJJMxf,HAL96661
positive,"A #UkranianRefugee who fled to the #UK said she recognised her stolen possessions, including a new boiler, electron… https://t.co/lAVfKqApv9",hands_skies
positive,"\Genuine tragedies in the world are not conflicts between right and wrong. They are conflicts between two rights.\""… https://t.co/AQ6XakYb38""",Franco_Africain
positive,"RT @audiocustoms82: Call signs, from left to right:\nBig Blue, Old School, Kiwi, Thatcher\nWe really need donations to keep our mission runni…",A3_Melle
positive,"RT @audiocustoms82: Call signs, from left to right:\nBig Blue, Old School, Kiwi, Thatcher\nWe really need donations to keep our mission runni…",AlwarrenSidh
neutral,"\Europe has to grow out of the mindset that Europe's problems are the World's problems \"" \n\nWhy to choose an axis if… https://t.co/XNG0Ox1LcU""",awaneesh376
positive,"RT @audiocustoms82: Call signs, from left to right:\nBig Blue, Old School, Kiwi, Thatcher\nWe really need donations to keep our mission runni…",Panduhh2020
neutral,#ukraineconflict #russianinvasion #saveukraine #StopRussianAggression #UkraineCrisis #chernobyl #Chernóbil… https://t.co/m7a9MxU4mr,Trespuntosed
neutral,I wish you had dozens of them! #StandWithUkraine #Ukraine #Putin #PutinHitler #PutinAtWar #UkraineRussianWar… https://t.co/OlmnedbjZk,HAL96661
negative,RT @uafreesky: ⚡️ Ukraine. Ukrainian drones are destroying BMP-2s of the Russian occupiers. Not a minute's rest for the Russian occupiers.…,cathy39637692
positive,While There Be More Cyber Attacks Due To Ukraine Conflict?\n\nGerman financial regulator BaFin issued a fresh cyber s… https://t.co/XcoADXibSq,drmuhammadmalik
neutral,#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie #UkraineConflict… https://t.co/Foug8JwWdB,HAL96661
neutral,#UkraineConflict ❗️❗️❗️ https://t.co/Gz4i5yJXcK,alpha7B5
negative,⚡️ Ukraine. Ukrainian drones are destroying BMP-2s of the Russian occupiers. Not a minute's rest for the Russian oc… https://t.co/yhJJ6xoJ5r,uafreesky
neutral,"Decision Time Has Come for #Russia in #Ukraine (by Paul Craig Roberts, Institute For Political Economy, 2 Jun 2022)… https://t.co/0cv9kpQ9Qq",alpha7B5
neutral,#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie #UkraineConflict… https://t.co/YkFPk3uZSt,HAL96661
positive,Nice 🤭\n#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie… https://t.co/YY09dqfW3J,HAL96661
positive,"Call signs, from left to right:\nBig Blue, Old School, Kiwi, Thatcher\nWe really need donations to keep our mission r… https://t.co/asw34EfwS8",audiocustoms82
neutral,https://t.co/ve9Z63hRQE \n#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar… https://t.co/Mgaw9emzuw,HAL96661
positive,"Western Narratives Full Of #Lies And Hopium As #Ukraine Is Losing #War (by Dr. Leon Tressell, SouthFront, 31 May 20… https://t.co/few607QDAb",alpha7B5
neutral,🤞🤞🤞\n#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie… https://t.co/OQZBgHL1Zp,HAL96661
neutral,#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar #UkraineRussie #UkraineConflict… https://t.co/C16tmBzEoY,HAL96661
positive,Professional Looters\n\n#StandWithUkraine #Ukraine #Poutine #PoutineHitler #PutinAtWar #UkraineRussianWar… https://t.co/ZvxwPoWc5F,HAL96661
neutral,War in one picture.\n\n#war #conflict #weapons\n#RussiaUkraineConflict #UkrainianArmy #потерьнет #RussianArmy… https://t.co/aOOUV1Xk2w,Ex0dvs
neutral,"#Russie #Ukraine #ukraineconflict \nDu lourd, tu très lourd!\nOn n'est pas à la TV, là, à supporter des gamelin de pl… https://t.co/Vnh96D7Zs1",Clovis_76
negative,World Insights: 100 days of Russia-Ukraine conflict -- no quick end in sight\n#russia #ukraineconflict #world… https://t.co/RoznR2HhfG,unbnewsroom
positive,"Russia's Pacific Fleet starts naval exercises involving more than 40 warships, state media says. #Ukraine #UkraineConflict #UkraineCrisis",Moritzbhg
neutral,"Ukrainian officials say Russia is suffering \systematic counterattacks\"" in the south. #Ukraine #UkraineConflict #UkraineCrisis""",Moritzbhg
neutral,@papike_fr @BouillyPhilipp1 @JLMelenchon Il est à peu près aussi fiable que les infos à la télévision russe et à pe… https://t.co/aJPYyxCKYZ,FRANCENARQUES
negative,RT @enriquesouza_: That is what I was afraid of. You don't corner a rat leaving it without scape. Putin is too proud to lose this stupid wa…,RinaPramesti06
neutral,#Ukraine #Putin #Sanktionen #Ukrainian #UkraineCrisis #UkraineWar #UkraineConflict #Ukrain  #UkraineRussia… https://t.co/mA0KHaM8RK,Feenwald
neutral,#Ukraine #Putin #Sanktionen #Ukrainian #UkraineCrisis #UkraineWar #UkraineConflict #Ukrain  #UkraineRussia… https://t.co/G0AWP8ukK8,Feenwald
